sp,year,temporada,sexo,estadio,d15n,d13c
H.dipterurus,2015,Calida,M,Juvenil,16.30121683,-14.50678464
H.dipterurus,2015,Calida,H,Juvenil,16.83237373,-17.8104045
H.dipterurus,2015,Calida,M,Adulto,17.13546327,-15.83143415
H.dipterurus,2015,Calida,H,Juvenil,13.12309315,-15.96595974
H.dipterurus,2015,Calida,M,Adulto,17.63311743,-16.71943834
H.dipterurus,2015,Calida,H,Juvenil,17.59478994,-16.8916867
H.dipterurus,2015,Calida,H,Juvenil,17.38576472,-17.77526129
H.dipterurus,2015,Calida,H,Juvenil,17.53164941,-16.48306216
H.dipterurus,2015,Calida,H,Juvenil,17.36608849,-14.91149662
H.dipterurus,2015,Calida,M,Adulto,17.15073636,-16.71957478
H.dipterurus,2015,Calida,M,Adulto,16.6155804,-16.7521289
H.dipterurus,2015,Calida,H,Juvenil,17.35063577,-17.63934895
H.dipterurus,2015,Calida,H,Adulto,17.62360746,-16.36869759
H.dipterurus,2015,Calida,M,Juvenil,16.37983279,-14.6881481
H.dipterurus,2015,Calida,M,Adulto,15.98897331,-12.77635248
H.dipterurus,2015,Calida,H,Juvenil,16.86170189,-13.26256697
H.dipterurus,2015,Calida,M,Adulto,18.51718476,-14.71648346
H.dipterurus,2015,Calida,M,Juvenil,16.04560301,-12.76900573
H.dipterurus,2015,Calida,H,Juvenil,16.49364191,-14.45277134
H.dipterurus,2015,Calida,M,Juvenil,15.92452835,-13.63035462
H.dipterurus,2015,Calida,M,Juvenil,15.39648857,-12.62510529
H.dipterurus,2015,Calida,M,Juvenil,14.84787787,-12.84635721
H.dipterurus,2015,Calida,H,Juvenil,16.30861176,-12.57044812
H.dipterurus,2015,Calida,M,Juvenil,17.04530186,-14.44030436
H.dipterurus,2015,Calida,M,Adulto,17.28245583,-16.14971143
H.dipterurus,2015,Calida,M,Adulto,17.31708439,-15.90556373
H.dipterurus,2015,Calida,H,Juvenil,17.09273954,-12.05936036
H.dipterurus,2015,Calida,H,Juvenil,17.61104058,-11.43282827
H.dipterurus,2015,Calida,M,Adulto,16.57465511,-13.44959908
H.dipterurus,2015,Calida,H,Juvenil,14.62983539,-11.74487883
H.dipterurus,2015,Calida,H,Juvenil,15.73491145,-13.47515917
H.dipterurus,2015,Calida,H,Juvenil,16.49596383,-14.07625657
H.dipterurus,2015,Calida,M,Adulto,18.48210053,-14.63634731
H.dipterurus,2015,Calida,M,Adulto,12.34367803,-9.828568338
H.dipterurus,2015,Calida,M,Adulto,18.00106742,-17.42979992
H.dipterurus,2015,Calida,H,Juvenil,16.7577394,-15.29262429
H.dipterurus,2015,Calida,H,Juvenil,12.52192379,-13.24022332
H.dipterurus,2015,Calida,M,Adulto,16.9139926,-16.16959574
H.dipterurus,2015,Calida,H,Juvenil,16.13276661,-13.34424364
H.dipterurus,2015,Calida,M,Juvenil,15.47293015,-12.37032507
H.dipterurus,2015,Calida,H,Juvenil,12.66946091,-9.521132935
H.dipterurus,2015,Calida,H,Adulto,14.18409879,-10.00545985
H.dipterurus,2015,Calida,H,Adulto,14.97595837,-14.75737987
H.dipterurus,2015,Calida,M,Adulto,17.65270045,-16.50586131
H.dipterurus,2015,Calida,H,Adulto,18.30527009,-16.3922305
H.dipterurus,2015,Calida,H,Juvenil,13.4728824,-11.47287805
H.dipterurus,2015,Calida,H,Adulto,16.08560784,-14.01681718
H.dipterurus,2015,Calida,H,Adulto,16.15861664,-13.84170331
H.dipterurus,2015,Calida,M,Juvenil,13.70918817,-12.48243301
H.dipterurus,2015,Calida,H,Adulto,15.98453287,-10.93568627
H.dipterurus,2015,Calida,M,Adulto,18.03568377,-14.98856488
H.dipterurus,2015,Calida,M,Adulto,17.30071577,-14.60649024
H.dipterurus,2015,Calida,M,Adulto,13.16289589,-17.95514445
H.dipterurus,2015,Calida,H,Adulto,17.90421514,-13.93706166
H.dipterurus,2015,Calida,M,Adulto,16.73227551,-13.98079434
H.dipterurus,2015,Calida,M,Adulto,13.09882845,-11.53056024
H.dipterurus,2015,Calida,M,Adulto,15.24943916,-14.61980002
H.dipterurus,2015,Calida,M,Adulto,18.85102606,-14.07470642
H.dipterurus,2015,Calida,H,Adulto,18.30112087,-15.2242587
H.dipterurus,2015,Calida,M,Adulto,15.24943916,-14.61980002
H.dipterurus,2015,Calida,H,Juvenil,17.2886311,-13.62135239
H.dipterurus,2015,Calida,H,Juvenil,14.52942325,-11.91092816
H.dipterurus,2015,Calida,H,Juvenil,16.09398209,-13.45039798
H.dipterurus,2015,Fria,H,Adulto,12.005948,-10.74093814
H.dipterurus,2015,Fria,M,Juvenil,13.49738857,-13.33220871
H.dipterurus,2015,Fria,M,Adulto,16.67906409,-13.36604854
H.dipterurus,2015,Fria,H,Juvenil,13.66543821,-13.08708852
H.dipterurus,2015,Fria,H,Juvenil,15.06453407,-15.23749703
H.dipterurus,2015,Fria,H,Adulto,15.32159245,-15.57170932
H.dipterurus,2015,Fria,H,Juvenil,13.74615994,-11.78467196
H.dipterurus,2015,Fria,H,Juvenil,13.50129599,-11.65127888
H.dipterurus,2015,Fria,H,Adulto,17.26644544,-12.88193326
H.dipterurus,2015,Fria,M,Adulto,16.13516778,-10.48881451
H.dipterurus,2015,Fria,M,Juvenil,14.40338392,-12.79794748
H.dipterurus,2015,Fria,H,Juvenil,13.74532544,-11.2610251
H.dipterurus,2015,Fria,M,Juvenil,14.12131986,-13.30727099
H.dipterurus,2015,Fria,H,Juvenil,14.85044744,-12.45406287
H.dipterurus,2015,Fria,H,Juvenil,13.86837346,-12.63810852
H.dipterurus,2015,Fria,M,Juvenil,15.91656905,-18.19219781
H.dipterurus,2015,Fria,H,Juvenil,15.11890054,-13.24938441
H.dipterurus,2015,Fria,H,Juvenil,11.33558412,-12.1353092
N.entemedor,2015,Fria,H,Adulto,18.06496386,-12.57686061
N.entemedor,2015,Calida,H,Adulto,19.24808734,-12.38774561
N.entemedor,2015,Calida,H,Adulto,18.4383003,-13.2062068
N.entemedor,2015,Calida,H,Juvenil,18.6823647,-13.09398375
N.entemedor,2015,Calida,H,Juvenil,18.80795732,-15.04004611
N.entemedor,2015,Calida,H,Adulto,18.44630212,-12.30763604
N.entemedor,2015,Calida,H,Adulto,18.77393223,-13.3423786
N.entemedor,2015,Calida,H,Adulto,18.74692897,-12.99215084
N.entemedor,2015,Calida,H,Juvenil,18.73736822,-13.32027925
N.entemedor,2015,Calida,H,Juvenil,18.34188009,-13.02116971
N.entemedor,2015,Calida,H,Juvenil,18.21270071,-13.73838141
N.entemedor,2015,Calida,H,Adulto,18.06268941,-12.7001239
N.entemedor,2015,Calida,H,Juvenil,18.35471141,-13.25626183
N.entemedor,2015,Calida,H,Adulto,18.43917824,-12.83035612
N.entemedor,2015,Calida,H,Adulto,18.49796852,-12.5924519
N.entemedor,2015,Calida,M,Adulto,18.53387636,-14.70988422
N.entemedor,2015,Calida,H,Adulto,17.74805001,-11.30880817
N.entemedor,2015,Calida,H,Adulto,17.0680032,-10.72171305
N.entemedor,2015,Calida,M,Adulto,17.87917331,-13.13916421
N.entemedor,2015,Calida,H,Adulto,17.89406006,-11.13578014
